"pvalues","Fission"
0.00662227871573008,"Marginal thinning"
0.138196657026303,"Conditional thinning"
0.00887328475008294,"Marginal thinning"
0.00790201589494688,"Conditional thinning"
0.000197644319872553,"Marginal thinning"
0.207160265496308,"Conditional thinning"
0.000549585333314284,"Marginal thinning"
0.675985712284741,"Conditional thinning"
0.00178915566662964,"Marginal thinning"
0.23581548352321,"Conditional thinning"
0.00099238373002215,"Marginal thinning"
0.427530706988529,"Conditional thinning"
0.0247117559552303,"Marginal thinning"
0.660608738183009,"Conditional thinning"
0.0105837542952526,"Marginal thinning"
0.773140146020371,"Conditional thinning"
0.0239120185714793,"Marginal thinning"
0.648294579742115,"Conditional thinning"
0.0154194966822279,"Marginal thinning"
0.853882092841121,"Conditional thinning"
0.0223320180313673,"Marginal thinning"
0.821194053395873,"Conditional thinning"
0.0425421646925459,"Marginal thinning"
0.135917196053468,"Conditional thinning"
0.0380995991010408,"Marginal thinning"
0.318785823278728,"Conditional thinning"
0.000833788305358068,"Marginal thinning"
0.806450318112503,"Conditional thinning"
0.0672241796682947,"Marginal thinning"
0.812005108981253,"Conditional thinning"
0.00216147150607275,"Marginal thinning"
0.396812286391,"Conditional thinning"
0.0583213560877935,"Marginal thinning"
0.538084403627523,"Conditional thinning"
0.0102078863105676,"Marginal thinning"
0.387094646586247,"Conditional thinning"
0.00137676873029229,"Marginal thinning"
0.48652822578352,"Conditional thinning"
0.00236192974735014,"Marginal thinning"
0.690466499805161,"Conditional thinning"
0.00318678669916341,"Marginal thinning"
0.914232013444897,"Conditional thinning"
0.0050728558551271,"Marginal thinning"
0.109085571449699,"Conditional thinning"
0.000560313696093675,"Marginal thinning"
0.653173839936151,"Conditional thinning"
0.000411175439932834,"Marginal thinning"
0.271750341973522,"Conditional thinning"
0.138506321192003,"Marginal thinning"
0.25852988453206,"Conditional thinning"
0.0805128725167568,"Marginal thinning"
0.416832631447762,"Conditional thinning"
0.0139173709220238,"Marginal thinning"
0.815427377247197,"Conditional thinning"
0.00331928848821089,"Marginal thinning"
0.821920187057884,"Conditional thinning"
0.00490467152865019,"Marginal thinning"
0.454541413020577,"Conditional thinning"
0.0124658198682009,"Marginal thinning"
